[129.95, 0.53]
[129.99, 0.04]
[130.19, 0.62]
[130.22, 0.03]
[130.52, 0.52]
[130.58, 0.06]
[130.6, 0.38]
[131.13, 0.53]
[131.13, 0.54]
[131.16, 0.03]
[131.18, 0.05]
[131.57, 0.39]
[131.72, 0.56]
[131.77, 0.05]
[132.1, 0.53]
[132.36, 0.26]
[132.38, 0.61]
[132.52, 0.11]
[132.9, 0.52]
[132.9, 0.37]
[132.96, 0.06]
[132.98, 0.09]
[133.21, 0.25]
[133.45, 0.46]
[133.72, 0.51]
[133.81, 0.09]
[134.04, 0.59]
[134.09, 0.05]
[134.36, 0.54]
[134.49, 0.39]
[134.55, 0.05]
[134.67, 0.11]
[134.77, 0.1]
[134.88, 0.52]
[135.05, 0.28]
[135.11, 0.06]
[135.22, 0.09]
[135.51, 0.62]
[135.58, 0.06]
[135.66, 0.44]
[135.74, 0.08]
[136.02, 0.27]
[136.08, 0.05]
[136.14, 0.56]
[136.34, 0.26]
[136.55, 0.41]
[136.57, 0.23]
[137.07, 0.49]
[137.08, 0.52]
[137.13, 0.05]
[137.14, 0.06]
[137.2, 0.07]
[137.27, 0.06]
[137.35, 0.08]
[137.4, 0.05]
[137.43, 0.28]
[137.51, 0.08]
[137.79, 0.28]
[137.92, 0.51]
[138.22, 0.31]
[138.28, 0.05]
[138.36, 0.57]
[138.8, 0.52]
[138.88, 0.51]
[138.92, 0.12]
[139.37, 0.45]
[139.41, 0.53]
[139.95, 0.53]
[140.0, 0.63]
[140.08, 0.07]
[140.11, 0.16]
[140.16, 0.08]
[140.2, 0.08]
[140.21, 0.05]
[140.3, 0.1]
[140.39, 0.09]
[140.73, 0.52]
[140.79, 0.06]
[140.87, 0.08]
[141.0, 0.11]
[141.08, 0.08]
[141.15, 0.08]
[141.28, 0.89]
[141.34, 0.05]
[141.46, 0.31]
[141.51, 0.17]
[141.54, 0.06]
[141.63, 0.12]
[141.75, 0.12]
[141.88, 0.33]
[141.97, 0.08]
[142.19, 0.23]
[142.25, 0.06]
[142.28, 0.51]
[142.36, 0.08]
[142.61, 0.36]
[142.72, 0.08]
[142.77, 0.05]
[142.82, 0.05]
[142.83, 0.46]
[142.89, 0.07]
[142.91, 0.08]
[142.94, 0.05]
[143.0, 0.06]
[143.17, 0.26]
[143.55, 0.55]
[143.61, 0.05]
[143.69, 0.51]
[143.8, 0.1]
[144.18, 0.58]
[144.35, 0.55]
[144.65, 0.29]
[144.73, 0.54]
[144.81, 0.08]
[144.87, 0.05]
[144.91, 0.04]
[145.19, 0.55]
[145.34, 0.43]
[145.69, 0.49]
[145.85, 0.51]
[145.9, 0.05]
[146.12, 0.43]
[146.16, 0.26]
[146.22, 0.05]
[146.26, 0.04]
[146.36, 0.1]
[146.4, 0.04]
[146.4, 0.28]
[146.51, 0.1]
[146.75, 0.24]
[147.0, 0.6]
[147.09, 0.08]
[147.15, 0.06]
[147.28, 0.52]
[147.33, 0.05]
[147.5, 0.35]
[147.57, 0.06]
[147.64, 0.07]
[147.81, 0.47]
[148.15, 0.51]
[148.31, 0.5]
[148.37, 0.04]
[148.46, 0.1]
[148.55, 0.09]
[148.65, 0.1]
[148.76, 0.1]
[148.77, 0.62]
[148.87, 0.1]
[148.93, 0.06]
[149.19, 0.42]
[149.43, 0.5]
[149.52, 0.08]
[149.61, 0.09]
[149.72, 0.52]
[149.72, 0.1]
[149.78, 0.06]
[150.3, 0.51]
[150.34, 0.62]
[150.39, 0.09]
[150.87, 0.52]
[150.95, 0.56]
[151.02, 0.06]
[151.39, 0.52]
[151.7, 0.67]
[151.91, 0.52]
[152.22, 0.31]
[152.46, 0.77]
[152.77, 0.3]
[152.82, 0.05]
[153.06, 0.84]
[153.29, 0.23]
[153.33, 0.04]
[153.35, 0.52]
[153.4, 0.06]
[153.45, 0.05]
[153.51, 0.05]
[153.9, 0.55]
[154.1, 0.59]
[154.41, 0.3]
[154.43, 0.52]
[154.51, 0.08]
[154.59, 0.08]
[154.66, 0.06]
[154.74, 0.08]
[154.85, 0.1]
[154.92, 0.06]
[154.99, 0.06]
[155.05, 0.63]
[155.56, 0.52]
[155.64, 0.65]
[155.7, 0.06]
[155.8, 0.09]
[155.98, 0.41]
[156.08, 0.1]
[156.22, 0.43]
[156.31, 0.08]
[156.71, 0.63]
[156.83, 0.52]
[156.88, 0.04]
[157.42, 0.53]
[157.44, 0.73]
[157.55, 0.13]
[158.07, 0.63]
[158.07, 0.52]
[158.19, 0.11]
[158.28, 0.09]
[158.34, 0.05]
[158.64, 0.29]
[158.7, 0.62]
[158.71, 0.06]
[158.79, 0.07]
[158.92, 0.13]
[158.99, 0.07]
[159.05, 0.06]
[159.16, 0.1]
[159.22, 0.52]
[159.32, 0.1]
[159.69, 0.52]
[159.74, 0.04]
[159.83, 0.09]
[159.95, 0.62]
[160.03, 0.14]
[160.11, 0.07]
[160.19, 0.08]
[160.26, 0.31]
[160.31, 0.05]
[160.32, 0.13]
[160.37, 0.05]
[160.42, 0.05]
[160.78, 0.47]
[160.84, 0.06]
[160.95, 0.52]
[161.07, 0.1]
[161.15, 0.08]
[161.2, 0.36]
[161.22, 0.06]
[161.29, 0.08]
[161.37, 0.08]
[161.42, 0.04]
[161.45, 0.22]
[161.5, 0.08]
[161.5, 0.05]
[162.03, 0.52]
[162.04, 0.54]
[162.17, 0.13]
[162.33, 0.3]
[162.63, 0.46]
[162.7, 0.07]
[162.76, 0.06]
[162.84, 0.51]
[162.97, 0.12]
[163.04, 0.07]
[163.19, 0.43]
[163.19, 0.15]
[163.32, 0.13]
[163.45, 0.13]
[163.5, 0.3]
[163.58, 0.06]
[164.03, 0.58]
[164.1, 0.07]
[164.17, 0.07]
[164.29, 0.12]
[164.4, 0.1]
[164.46, 0.88]
[164.48, 0.08]
[164.53, 0.07]
[164.9, 0.36]
[165.07, 0.59]
[165.17, 0.1]
[165.4, 0.5]
[165.52, 0.12]
[165.61, 0.08]
[165.67, 0.06]
[165.68, 0.5]
[165.73, 0.05]
[165.78, 0.05]
[165.79, 0.06]
[165.91, 0.12]
[166.22, 0.44]
[166.47, 0.56]
[166.55, 0.08]
[166.63, 0.42]
[166.72, 0.08]
[166.81, 0.04]
[166.89, 0.08]
[167.2, 0.65]
[167.47, 0.58]
[167.72, 0.52]
[167.87, 0.15]
[167.92, 0.05]
[167.98, 0.5]
[168.43, 0.5]
[168.49, 0.06]
[168.52, 0.54]
[168.55, 0.05]
[168.6, 0.08]
[168.62, 0.07]
[168.65, 0.05]
[169.08, 0.45]
[169.15, 0.07]
[169.25, 0.59]
[169.32, 0.07]
[169.41, 0.26]
[169.98, 0.65]
[170.15, 0.73]
[170.33, 0.18]
[170.41, 0.43]
[170.5, 0.09]
[170.52, 0.18]
[170.81, 0.31]
[170.87, 0.05]
[170.96, 0.09]
[171.09, 0.57]
[171.14, 0.05]
[171.55, 0.59]
[171.64, 0.49]
[172.07, 0.52]
[172.33, 0.69]
[172.42, 0.09]
[172.59, 0.52]
[172.64, 0.05]
[172.72, 0.29]
[173.22, 0.57]
[173.23, 0.51]
[173.27, 0.05]
[173.74, 0.51]
[173.85, 0.58]
[173.85, 0.09]
[174.23, 0.38]
[174.3, 0.07]
[174.37, 0.52]
[174.43, 0.06]
[174.55, 0.11]
[174.61, 0.3]
[174.65, 0.09]
[174.79, 0.13]
[174.9, 0.3]
[174.96, 0.05]
[175.03, 0.07]
[175.33, 0.54]
[175.47, 0.13]
[175.62, 0.59]
[175.76, 0.13]
[175.85, 0.09]
[175.91, 0.44]
[176.46, 0.61]
[176.52, 0.6]
[177.01, 0.49]
[177.08, 0.62]
[177.13, 0.05]
[177.14, 0.13]
[177.59, 0.44]
[177.69, 0.1]
[177.71, 0.57]
[177.81, 0.09]
[177.86, 0.05]
[177.93, 0.07]
[178.01, 0.08]
[178.2, 0.51]
[178.28, 0.08]
[178.31, 0.29]
[178.41, 0.1]
[178.81, 0.53]
[178.96, 0.56]
[178.96, 0.15]
[179.05, 0.07]
[179.29, 0.33]
[179.38, 0.08]
[179.9, 0.85]
[179.9, 0.5]
[180.43, 0.52]
[180.63, 0.51]
[180.79, 0.12]
[180.84, 0.05]
[180.95, 0.52]
[181.36, 0.41]
[181.43, 0.59]
[181.53, 0.09]
[181.58, 0.05]
[181.67, 0.08]
[181.95, 0.28]
[182.1, 0.74]
[182.24, 0.14]
[182.28, 0.33]
[182.35, 0.06]
[182.63, 0.28]
[182.75, 0.51]
[182.91, 0.29]
[183.03, 0.28]
[183.47, 0.55]
[183.56, 0.52]
[183.63, 0.06]
[183.7, 0.06]
[183.75, 0.28]
[184.03, 0.28]
[184.29, 0.59]
[184.4, 0.37]
[184.81, 0.52]
[184.93, 0.53]
[185.02, 0.09]
[185.11, 0.08]
[185.42, 0.31]
[185.44, 0.63]
[185.77, 0.34]
[185.83, 0.07]
[185.96, 0.52]
[186.03, 0.06]
[186.15, 0.11]
[186.2, 0.05]
[186.2, 0.36]
[186.31, 0.11]
[186.37, 0.17]
[186.43, 0.05]
[186.62, 0.19]
[186.84, 0.53]
[186.89, 0.05]
[186.94, 0.05]
[187.31, 0.69]
[187.39, 0.08]
[187.46, 0.51]
[187.47, 0.08]
[187.52, 0.06]
[187.57, 0.1]
[188.03, 0.49]
[188.26, 0.68]
[188.34, 0.31]
[188.39, 0.06]
[188.88, 0.62]
[188.96, 0.56]
[188.99, 0.1]
[189.47, 0.5]
[189.51, 0.52]
[189.99, 0.52]
[190.04, 0.52]
[190.05, 0.06]
[190.16, 0.1]
[190.24, 0.08]
[190.29, 0.05]
[190.38, 0.08]
[190.55, 0.52]
[190.64, 0.26]
[190.92, 0.27]
[191.17, 0.25]
[191.18, 0.63]
[191.71, 0.52]
[191.77, 0.6]
[192.31, 0.53]
[192.32, 0.62]
[192.72, 0.41]
[192.75, 0.42]
[192.84, 0.12]
