[44.21,2.683]
[44.22,2.695]
[44.22,2.69]
[44.22,2.714]
[44.29,2.762]
[44.32,2.73]
[44.32,2.766]
[44.35,2.708]
[44.35,2.709]
[44.35,2.758]
[44.35,2.791]
[44.35,2.758]
[44.4,2.809]
[44.43,2.755]
[44.44,2.851]
[44.47,2.794]
[44.47,2.914]
[44.47,2.832]
[44.51,2.828]
[44.51,2.828]
[44.51,2.828]
[44.51,2.865]
[44.54,2.86]
[44.54,2.899]
[44.56,2.835]
[44.56,2.885]
[44.56,2.885]
[44.59,2.866]
[44.59,2.913]
[44.59,2.828]
[44.66,2.976]
[44.69,2.928]
[44.7,2.929]
[44.7,2.929]
[44.72,3.037]
[44.72,2.927]
[44.72,2.928]
[44.75,2.98]
[44.77,3.006]
[44.78,2.935]
[44.81,3.04]
[44.81,3.013]
[44.81,3.013]
[44.84,2.992]
[44.84,2.992]
[44.84,2.991]
[44.84,2.992]
[44.9,3.005]
[44.94,3.003]
[44.94,3.003]
[44.94,3.004]
[44.96,3.025]
[44.96,3.026]
[44.96,3.026]
[44.98,3.135]
[45.03,3.064]
[45.05,3.015]
[45.06,3.124]
[45.06,3.065]
[45.09,3.023]
[45.09,2.976]
[45.09,3.023]
[45.09,3.028]
[45.09,3.102]
[45.12,2.952]
[45.15,3.037]
[45.16,3.097]
[45.18,3.041]
[45.19,3.074]
[45.22,3.012]
[45.22,3.074]
[45.24,3.053]
[45.27,3.101]
[45.3,3.062]
[45.31,3.067]
[45.34,3.058]
[45.34,3.059]
[45.34,3.1]
[45.37,3.09]
[45.42,3.191]
[45.42,3.217]
[45.42,3.113]
[45.42,3.145]
[45.47,3.158]
[45.47,3.159]
[45.47,3.163]
[45.47,3.163]
[45.48,3.172]
[45.48,3.173]
[45.48,3.172]
[45.58,3.228]
[45.58,3.23]
[45.58,3.23]
[45.61,3.261]
[45.63,3.248]
[45.64,3.255]
[45.68,3.16]
[45.68,3.16]
[45.68,3.298]
[45.68,3.161]
[45.68,3.335]
[45.69,3.225]
[45.7,3.282]
[45.7,3.172]
[45.7,3.177]
[45.78,3.281]
[45.8,3.328]
[45.81,3.177]
[45.81,3.357]
[45.81,3.211]
[45.81,3.211]
[45.81,3.26]
[45.84,3.206]
[45.85,3.217]
[45.94,3.313]
[45.96,3.261]
[45.96,3.332]
[45.96,3.297]
[45.99,3.289]
[46.02,3.354]
